Mid foot,,,,
Start,End,Contact duration,Peak pressure,Pressure time integral
0.28,0.54,0.26,89.6,10.66
1.4,1.72,0.32,121.4,17.13
2.56,2.9,0.34,89.6,13.71
3.7,4.04,0.34,186.8,22.75
4.88,5.2,0.32,87.8,12.87
5.98,6.3,0.32,132.6,19.46
7.14,7.46,0.32,99,14.52
