Area of Application,Pre-ES,Pre SD,Post-ES,Post SD
Rearfoot,286.3,97.2,249.3,86.2
Midfoot,76.4,28.1,72.9,25.3
Forefoot,357.5,95.1,336.9,93.9
Total,379.5,99.6,349.5,93.9
