Area of Application,Pre-ES,Pre SD,Post-ES,Post SD
Rearfoot,31,4.2,28.3,8.1
Midfoot,11.5,4.2,11.3,4.2
Forefoot,31.7,8.1,29.7,8.1
Total,48.4,13.3,46.6,12.2
